id,build,pair,passed,joinSeconds,torInitToFirstPeerSeconds,qssDownSeconds,qssUpSeconds,torDownSeconds,torUpSeconds,torInitToReadySeconds,qssPausedThroughout,qssPausedAtFailure
v8-trial1,8,1,False,4.470833835999997,233.95800018310547,1.6665863348171115,2.090521468780935,206.5259453523904,,,,True
v10-trial1,10,1,True,5.70208904399999,19.384999990463257,1.517511010169983,1.9727754155173898,1.4168325560167432,2.4062099289149046,10.411999940872192,True,
v8-trial2,8,2,True,4.348159126999917,36.568000078201294,1.6673346040770411,1.9669197564944625,9.231791850179434,3.0507419519126415,,True,
v10-trial2,10,2,True,5.6206230029999915,65.60500001907349,1.6173170041292906,1.928995587863028,36.8324424745515,2.4609748870134354,52.77500009536743,True,
v8-trial3,8,3,True,4.629643919000046,49.426000118255615,1.7175807291641831,2.0131766153499484,69.44189995992929,2.0380784049630165,,True,
v10-trial3,10,3,True,5.80444829399994,152.73099994659424,1.417119536548853,1.913430985994637,124.73490518145263,2.489537311717868,128.41499996185303,True,
v8-trial4,8,4,True,5.346037169000056,67.01099991798401,1.6672137407585979,1.9080896442756057,39.73407414089888,2.4191444385796785,,True,
v10-trial4,10,4,True,5.763915961000066,30.94000005722046,1.5168867828324437,2.010800376534462,1.4687922522425652,2.2892318656668067,17.73900008201599,True,
v8-trial5,8,5,True,4.544796003000101,27.48200011253357,1.4168069725856185,2.0732925087213516,1.4668628070503473,22.235288398340344,,True,
v10-trial5,10,5,True,4.899761918999957,22.88100004196167,1.5676525132730603,2.003513790667057,1.5165124973282218,2.41526435688138,12.745000123977661,True,
